id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	encrypted	other	default	same_default	same_script	allowed_filetypes	alphasort	answer_order	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	placeholder	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
		S		sid		872261																																																																																																																																													
		S		admin		inherit																																																																																																																																													
		S		adminemail		inherit																																																																																																																																													
		S		anonymized		I																																																																																																																																													
		S		format		I																																																																																																																																													
		S		savetimings		I																																																																																																																																													
		S		template		inherit																																																																																																																																													
		S		language		es																																																																																																																																													
		S		additional_languages																																																																																																																																															
		S		datestamp		I																																																																																																																																													
		S		usecookie		I																																																																																																																																													
		S		allowregister		I																																																																																																																																													
		S		allowsave		I																																																																																																																																													
		S		autonumber_start		0																																																																																																																																													
		S		autoredirect		I																																																																																																																																													
		S		allowprev		I																																																																																																																																													
		S		printanswers		I																																																																																																																																													
		S		ipaddr		I																																																																																																																																													
		S		refurl		I																																																																																																																																													
		S		publicstatistics		I																																																																																																																																													
		S		publicgraphs		I																																																																																																																																													
		S		listpublic		I																																																																																																																																													
		S		htmlemail		I																																																																																																																																													
		S		sendconfirmation		I																																																																																																																																													
		S		tokenanswerspersistence		I																																																																																																																																													
		S		assessments		I																																																																																																																																													
		S		usecaptcha		E																																																																																																																																													
		S		usetokens		N																																																																																																																																													
		S		bounce_email		inherit																																																																																																																																													
		S		emailresponseto		inherit																																																																																																																																													
		S		emailnotificationto		inherit																																																																																																																																													
		S		tokenlength		-1																																																																																																																																													
		S		showxquestions		I																																																																																																																																													
		S		showgroupinfo		I																																																																																																																																													
		S		shownoanswer		I																																																																																																																																													
		S		showqnumcode		I																																																																																																																																													
		S		bounceprocessing		N																																																																																																																																													
		S		showwelcome		I																																																																																																																																													
		S		showprogress		I																																																																																																																																													
		S		questionindex		-1																																																																																																																																													
		S		navigationdelay		-1																																																																																																																																													
		S		nokeyboard		I																																																																																																																																													
		S		alloweditaftercompletion		I																																																																																																																																													
		S		gsid		1																																																																																																																																													
		S		showsurveypolicynotice		0																																																																																																																																													
		S		tokenencryptionoptions		"{ ""enabled"":""Y"",""columns"":{ ""firstname"":""N"",""lastname"":""N"",""email"":""N"" } }"																																																																																																																																													
		S		ipanonymize		I																																																																																																																																													
		SL		surveyls_survey_id		872261		es																																																																																																																																											
		SL		surveyls_email_invite_subj		"Invitación para participar en una encuesta"		es																																																																																																																																											
		SL		surveyls_email_invite		"Estimado/a {FIRSTNAME} {LASTNAME}:↵↵Ha sido invitado a participar en una encuesta:↵↵«{SURVEYNAME}»↵↵«{SURVEYDESCRIPTION}»↵↵Para participar, por favor pulse en el siguiente enlace:↵↵{SURVEYURL}↵↵Atentamente,↵↵{ADMINNAME} ({ADMINEMAIL})↵↵Si no desea participar en esta encuesta y tampoco desea recibir más invitaciones a la misma, por favor, pulse en el siguiente enlace:{OPTOUTURL}Si está en la lista negra pero desea participar en esta encuesta y recibir invitaciones, haga clic en el siguiente enlace: ↵ {OPTINURL}"		es																																																																																																																																											
		SL		surveyls_email_remind_subj		"Recordatorio para participar en una encuesta"		es																																																																																																																																											
		SL		surveyls_email_remind		"Estimado/a {FIRSTNAME} {LASTNAME}:Recientemente se le invitó a participar en la encuesta de título«{SURVEYNAME}»«{SURVEYDESCRIPTION}»Advertimos que aún no la ha completado, y de la forma más atenta queríamos recordarle que todavía se encuentra disponible si desea participar.Para hacerlo, por favor pulse en el siguiente enlace:{SURVEYURL}Nuevamente le agradecemos su interés y colaboración.Atentamente,{ADMINNAME} ({ADMINEMAIL})Si no desea participar en esta encuesta y tampoco desea recibir más invitaciones a la misma, por favor, pulse en el siguiente enlace:{OPTOUTURL}"		es																																																																																																																																											
		SL		surveyls_email_register_subj		"Confirmación de registro en la encuesta"		es																																																																																																																																											
		SL		surveyls_email_register		"Estimado/a {FIRSTNAME} {LASTNAME}:Usted, o alguien utilizando su dirección de correo electrónico, se ha registrado para participar en una encuesta en línea titulada «{SURVEYNAME}»«{SURVEYDESCRIPTION}»Para completarla, pulse en la siguiente dirección:{SURVEYURL}Si tiene cualquier duda con respecto a la encuesta, o si no se registró para participar y cree que este correo es un error, por favor, póngase en contacto con {ADMINNAME} en {ADMINEMAIL}."		es																																																																																																																																											
		SL		surveyls_email_confirm_subj		"Confirmación de su participación en nuestra encuesta"		es																																																																																																																																											
		SL		surveyls_email_confirm		"Estimado/a {FIRSTNAME} {LASTNAME}:↵↵Este correo es para confirmarle que ha completado la encuesta titulada ""{SURVEYNAME}"" y sus respuestas han quedado correctamente guardadas. Gracias por participar.↵↵Si tiene alguna duda o consulta adicional, por favor póngase en contacto con {ADMINNAME} en {ADMINEMAIL}.↵↵Atentamente,↵↵{ADMINNAME}"		es																																																																																																																																											
		SL		surveyls_dateformat		5		es																																																																																																																																											
		SL		email_admin_notification_subj		"Envío de respuestas de la encuesta {SURVEYNAME}"		es																																																																																																																																											
		SL		email_admin_notification		"Hola!Una nueva respuesta ha sido concluida en su encuesta '{SURVEYNAME}'.Pulse el siguiente enlace para ver la respuesta individual:{VIEWRESPONSEURL}Pulse el siguiente enlace para editar la respuesta individual:{EDITRESPONSEURL}Ver estadísticas pulsando el siguiente enlace:{STATISTICSURL}"		es																																																																																																																																											
		SL		email_admin_responses_subj		"Enviar los resultados de las respuestas en la encuesta {SURVEYNAME}"		es																																																																																																																																											
		SL		email_admin_responses		"Hola.Se ha enviado nueva respuesta a su formulario ""{SURVEYNAME}"".Pulse el siguiente enlace para ver la respuesta individual:{VIEWRESPONSEURL}Pulse el siguiente enlace para editar la respuesta individual:{EDITRESPONSEURL}Ver estadísticas pulsando el siguiente enlace:{STATISTICSURL}Estas son las respuestas dadas por el/la participante:{ANSWERTABLE}"		es																																																																																																																																											
		SL		surveyls_numberformat		1		es																																																																																																																																											
		SL		surveyls_policy_error				es																																																																																																																																											
		SL		surveyls_alias				es																																																																																																																																											
		SL		surveyls_language		es		es																																																																																																																																											
		SL		surveyls_title		"DigCompSAT - DigComp 2.1, Item-Bank auf Spanisch (es-ES)"		es																																																																																																																																											
		SL		surveyls_description				es																																																																																																																																											
		SL		surveyls_welcometext				es																																																																																																																																											
		SL		surveyls_endtext				es																																																																																																																																											
		SL		surveyls_url				es																																																																																																																																											
		SL		surveyls_urldescription				es																																																																																																																																											
		SL		surveyls_policy_notice				es																																																																																																																																											
		SL		surveyls_policy_notice_label				es																																																																																																																																											
10286		G	1	"CA1: Information and data literacy"				es																																																																																																																																											
114628		Q	L	Q1	1	"<span lang=""FR-CH"" style=""font-size:10.0pt""><span style=""line-height:115%""><span style=""font-family:&quot;Aptos&quot;,sans-serif"">Sé que los distintos buscadores pueden dar resultados diferentes, porque están influidos por factores comerciales. </span></span></span>"		es		N	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
114628		A	0	AO01		"No conozco esto / Nunca he oído hablar de esto / este tema"		es																0																																																																																																																											
114628		A	0	AO02		"Tengo un conocimiento muy limitado de esto / este tema"		es																0																																																																																																																											
114628		A	0	AO03		"Tengo una buena comprensión de esto / este tema"		es																0																																																																																																																											
114628		A	0	AO04		"Tengo un gran conocimiento de este tema y puedo explicárselo a otros"		es																0																																																																																																																											
114628		A	0	AO05		"No entiendo esta pregunta"		es																0																																																																																																																											
114629		Q	L	Q2	1	"<span lang=""IT-CH"" style=""font-size:10.0pt""><span style=""line-height:115%""><span style=""font-family:&quot;Aptos&quot;,sans-serif"">Sé qué palabras utilizar para encontrar rápidamente lo que necesito (por ejemplo, para buscar en internet o dentro de un documento). </span></span></span>"		es		N	N	N		0	0			normal					0																															0	0																															0	0		0					0								0																					0	1						1		0	0														
114629		A	0	AO01		"No conozco esto / Nunca he oído hablar de esto / este tema"		es																0																																																																																																																											
114629		A	0	AO02		"Tengo un conocimiento muy limitado de esto / este tema"		es																0																																																																																																																											
114629		A	0	AO03		"Tengo una buena comprensión de esto / este tema"		es																0																																																																																																																											
